Task,Short,Normal,Long,Total
prefrontal2,23,52,7,82
prefrontal3_reading,21,53,7,81
baseline_talk,20,58,2,80
gyrus_left_open,24,49,7,80
occipital4,20,51,9,80
frontal1_memorization,23,49,8,80
prefrontal1,24,48,8,80
gyrus_right_open,23,50,7,80
parietal_next_in_seq2,18,54,8,80
saying_words_based_on_cat2,25,51,4,80
frontal1_recall,22,51,7,80
gyrus_left_closed_eyes,20,53,6,79
image_angry,23,47,9,79
image_angry2,17,56,6,79
frontal3_recall,18,57,4,79
frontal2_recall,24,50,5,79
imagine_way_home,19,53,7,79
gyrus_right_closed_eyes,19,55,5,79
saying_words_based_on_cat,24,51,3,78
parietal_next_in_seq,23,49,6,78
temporal_how_many_instruments3,17,54,7,78
temporal_how_many_instruments4,19,52,7,78
image_sad2,22,49,7,78
parietal_2d_3d,22,47,9,78
image_sad,24,49,5,78
image_happy_cute,25,47,6,78
image_happiness,22,49,7,78
gyrus_coord,22,52,4,78
frontal3_saying_outloud,24,49,5,78
frontal2_memorization,26,45,7,78
gyrus_coord2,23,49,5,77
temporal_how_many_instruments2,19,51,7,77
valdo3,21,51,5,77
valdo1,21,49,6,76
valdo2,21,49,6,76
temporal_how_many_instruments1,21,47,7,75
