Task,Short,Normal,Long,Total
prefrontal2,35,28,19,82
prefrontal3_reading,41,29,11,81
baseline_talk,40,30,10,80
gyrus_left_open,49,19,12,80
occipital4,37,23,20,80
frontal1_memorization,34,26,20,80
prefrontal1,39,22,19,80
gyrus_right_open,37,28,15,80
parietal_next_in_seq2,36,29,15,80
saying_words_based_on_cat2,47,22,11,80
frontal1_recall,33,29,18,80
gyrus_left_closed_eyes,34,25,20,79
image_angry,38,26,15,79
image_angry2,34,27,18,79
frontal3_recall,38,34,7,79
frontal2_recall,39,27,13,79
imagine_way_home,37,22,20,79
gyrus_right_closed_eyes,34,25,20,79
saying_words_based_on_cat,49,21,8,78
parietal_next_in_seq,38,29,11,78
temporal_how_many_instruments3,36,23,19,78
temporal_how_many_instruments4,38,22,18,78
image_sad2,35,24,19,78
parietal_2d_3d,39,24,15,78
image_sad,37,28,13,78
image_happy_cute,37,21,20,78
image_happiness,38,25,15,78
gyrus_coord,38,28,12,78
frontal3_saying_outloud,37,27,14,78
frontal2_memorization,34,26,18,78
gyrus_coord2,40,25,12,77
temporal_how_many_instruments2,31,23,23,77
valdo3,38,25,14,77
valdo1,36,29,11,76
valdo2,35,27,14,76
temporal_how_many_instruments1,32,26,17,75
