Task,Short,Normal,Long,Total
parietal_next_in_seq2,517,1291,153,1961
parietal_next_in_seq,556,1215,147,1918
prefrontal2,400,812,128,1340
prefrontal3_reading,356,871,101,1328
occipital4,347,856,115,1318
parietal_2d_3d,390,813,107,1310
prefrontal1,399,779,131,1309
frontal3_recall,390,825,84,1299
frontal3_saying_outloud,401,785,113,1299
imagine_way_home,354,840,86,1280
gyrus_coord2,348,816,96,1260
frontal2_memorization,401,720,117,1238
frontal1_memorization,304,635,109,1048
frontal1_recall,301,631,86,1018
valdo1,294,613,79,986
valdo3,252,645,79,976
valdo2,248,648,73,969
frontal2_recall,293,591,84,968
temporal_how_many_instruments4,238,591,67,896
temporal_how_many_instruments1,244,545,62,851
saying_words_based_on_cat,203,466,41,710
gyrus_left_open,208,436,51,695
baseline_talk,185,458,42,685
saying_words_based_on_cat2,205,411,41,657
gyrus_right_open,184,416,55,655
gyrus_coord,193,402,51,646
gyrus_left_closed_eyes,174,423,48,645
gyrus_right_closed_eyes,161,430,50,641
temporal_how_many_instruments3,171,379,46,596
temporal_how_many_instruments2,160,358,35,553
image_happiness,119,241,46,406
image_angry2,85,224,30,339
image_angry,91,214,34,339
image_sad,95,210,29,334
image_happy_cute,102,205,27,334
image_sad2,92,216,26,334
