Subject_ID,Actual_hours,Actual_cat,Majority_vote,Correct,N_tasks,Votes_Short,Votes_Normal,Votes_Long,Pred_gyrus_coord,Pred_gyrus_left_closed_eyes,Pred_gyrus_right_closed_eyes,Pred_prefrontal1,Pred_prefrontal2
BA1,7.0,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA2,7.0,Normal,Normal,True,5,0,3,2,Long,Long,Normal,Normal,Normal
BA3,7.0,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA4,8.0,Long,Long,True,5,1,2,2,Short,Long,Long,Normal,Normal
BA5,6.0,Short,Short,True,5,4,1,0,Normal,Short,Short,Short,Short
BA6,8.0,Long,Long,True,5,2,0,3,Long,Long,Long,Short,Short
BA7,6.0,Short,Short,True,5,5,0,0,Short,Short,Short,Short,Short
BA8,7.0,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA9,8.0,Long,Normal,False,5,2,3,0,Short,Normal,Normal,Short,Normal
BA11,6.0,Short,Normal,False,5,1,4,0,Normal,Normal,Normal,Short,Normal
BA12,7.0,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA13,7.0,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA14,7.0,Normal,Normal,True,5,0,4,1,Normal,Normal,Normal,Normal,Long
BA15,7.0,Normal,Normal,True,5,0,4,1,Normal,Normal,Long,Normal,Normal
BA16,8.0,Long,Long,True,5,0,2,3,Long,Normal,Normal,Long,Long
BA17,6.5,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA18,7.5,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA19,7.5,Normal,Normal,True,5,2,3,0,Short,Normal,Short,Normal,Normal
BA20,6.0,Short,Normal,False,5,2,3,0,Normal,Normal,Normal,Short,Short
BA21,7.5,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA22,7.2,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA23,6.0,Short,Normal,False,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA24,6.0,Short,Short,True,5,5,0,0,Short,Short,Short,Short,Short
BA25,5.5,Short,Short,True,5,5,0,0,Short,Short,Short,Short,Short
BA26,6.5,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA27,7.5,Normal,Normal,True,4,0,4,0,,Normal,Normal,Normal,Normal
BA28,5.5,Short,Short,True,5,4,1,0,Short,Short,Short,Normal,Short
BA29,6.5,Normal,Normal,True,5,1,4,0,Normal,Short,Normal,Normal,Normal
BA30,6.0,Short,Short,True,5,3,2,0,Short,Short,Short,Normal,Normal
BA31,6.5,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA32,6.0,Short,Short,True,5,3,2,0,Short,Short,Short,Normal,Normal
BA33,7.5,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA34,7.0,Normal,Normal,True,1,0,1,0,,,,,Normal
BA35,6.5,Normal,Normal,True,2,0,2,0,,,,Normal,Normal
BA36,6.0,Short,Normal,False,2,0,1,1,,,,Normal,Long
BA37,7.0,Normal,Normal,True,4,0,4,0,Normal,Normal,Normal,Normal,
BA38,7.5,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA39,7.0,Normal,Normal,True,5,1,4,0,Short,Normal,Normal,Normal,Normal
BA42,8.5,Long,Long,True,5,1,2,2,Short,Long,Long,Normal,Normal
BA43,7.0,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA44,7.5,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA45,7.0,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA46,6.0,Short,Normal,False,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA47,7.0,Normal,Normal,True,5,1,4,0,Normal,Normal,Normal,Short,Normal
BA48,6.0,Short,Short,True,5,5,0,0,Short,Short,Short,Short,Short
BA49,6.0,Short,Normal,False,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA50,7.0,Normal,Normal,True,5,1,4,0,Short,Normal,Normal,Normal,Normal
BA51,6.0,Short,Short,True,2,2,0,0,,,,Short,Short
BA52,6.0,Short,Short,True,5,5,0,0,Short,Short,Short,Short,Short
BA53,7.0,Normal,Normal,True,5,1,4,0,Normal,Normal,Normal,Short,Normal
BA56,5.0,Short,Short,True,5,3,2,0,Short,Normal,Normal,Short,Short
BA57,7.0,Normal,Normal,True,4,1,3,0,Normal,Normal,Short,,Normal
BA58,6.5,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA59,7.0,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA60,5.5,Short,Normal,False,5,0,5,0,Normal,Normal,Normal,Normal,Normal
BA61,7.5,Normal,Normal,True,4,0,4,0,Normal,Normal,Normal,,Normal
BA62,6.0,Short,Short,True,5,3,2,0,Short,Short,Short,Normal,Normal
BA63,7.0,Normal,Normal,True,5,0,5,0,Normal,Normal,Normal,Normal,Normal
