Subject_ID,Actual_hours,Actual_cat,Majority_vote,Correct,N_tasks,Votes_Short,Votes_Normal,Votes_Long,Pred_gyrus_coord,Pred_gyrus_left_closed_eyes,Pred_gyrus_right_closed_eyes,Pred_prefrontal1,Pred_prefrontal2
BA1,7.0,Normal,Normal,True,5,1,4,0,Normal,Normal,Normal,Short,Normal
BA2,7.0,Normal,Long,False,5,0,2,3,Long,Long,Long,Normal,Normal
BA3,7.0,Normal,Normal,True,5,1,4,0,Normal,Short,Normal,Normal,Normal
BA4,8.0,Long,Long,True,5,1,1,3,Short,Long,Long,Normal,Long
BA5,6.0,Short,Short,True,5,5,0,0,Short,Short,Short,Short,Short
BA6,8.0,Long,Long,True,5,1,0,4,Short,Long,Long,Long,Long
BA7,6.0,Short,Short,True,5,5,0,0,Short,Short,Short,Short,Short
BA8,7.0,Normal,Normal,True,5,0,4,1,Normal,Normal,Normal,Normal,Long
BA9,8.0,Long,Short,False,5,3,0,2,Short,Long,Short,Short,Long
BA11,6.0,Short,Short,True,5,5,0,0,Short,Short,Short,Short,Short
BA12,7.0,Normal,Short,False,5,5,0,0,Short,Short,Short,Short,Short
BA13,7.0,Normal,Normal,True,5,0,4,1,Long,Normal,Normal,Normal,Normal
BA14,7.0,Normal,Normal,True,5,0,3,2,Normal,Long,Normal,Normal,Long
BA15,7.0,Normal,Long,False,5,1,2,2,Short,Long,Long,Normal,Normal
BA16,8.0,Long,Long,True,5,1,0,4,Long,Short,Long,Long,Long
BA17,6.5,Short,Short,True,5,5,0,0,Short,Short,Short,Short,Short
BA18,7.5,Long,Short,False,5,3,0,2,Short,Short,Short,Long,Long
BA19,7.5,Long,Short,False,5,4,1,0,Short,Short,Short,Normal,Short
BA20,6.0,Short,Short,True,5,5,0,0,Short,Short,Short,Short,Short
BA21,7.5,Long,Short,False,5,3,0,2,Short,Long,Short,Short,Long
BA22,7.2,Long,Normal,False,5,0,4,1,Normal,Normal,Long,Normal,Normal
BA23,6.0,Short,Long,False,5,2,0,3,Short,Long,Long,Short,Long
BA24,6.0,Short,Short,True,5,5,0,0,Short,Short,Short,Short,Short
BA25,5.5,Short,Short,True,5,5,0,0,Short,Short,Short,Short,Short
BA26,6.5,Short,Short,True,5,3,2,0,Short,Short,Normal,Short,Normal
BA27,7.5,Long,Long,True,4,1,0,3,,Long,Long,Short,Long
BA28,5.5,Short,Short,True,5,4,1,0,Short,Short,Short,Normal,Short
