Rank,Feature,Importance,Channel,Band
1,POW.O1.BetaL,0.031840156596791166,O1,BetaL
2,POW.AF4.Theta,0.029737450077096415,AF4,Theta
3,POW.AF3.Theta,0.027775506551521983,AF3,Theta
4,POW.F4.Alpha,0.023783355055869693,F4,Alpha
5,POW.T7.BetaH,0.02154054353750887,T7,BetaH
6,POW.AF4.Gamma,0.021411675365819793,AF4,Gamma
7,POW.AF3.Alpha,0.020792297644845813,AF3,Alpha
8,POW.O1.Alpha,0.020307314977395907,O1,Alpha
9,POW.AF4.BetaH,0.0201870885698835,AF4,BetaH
10,POW.F8.Theta,0.01998730089161669,F8,Theta
11,POW.AF4.Alpha,0.019684638753648693,AF4,Alpha
12,POW.O1.BetaH,0.01897215573039451,O1,BetaH
13,POW.T7.Gamma,0.018812295512744544,T7,Gamma
14,POW.F4.BetaL,0.016947780434572398,F4,BetaL
15,POW.AF4.BetaL,0.01686378270216473,AF4,BetaL
16,POW.O2.Gamma,0.016753871776952905,O2,Gamma
17,POW.F7.Theta,0.0165559485023355,F7,Theta
18,POW.T7.BetaL,0.016267301343630244,T7,BetaL
19,POW.FC5.Theta,0.015614381765539745,FC5,Theta
20,POW.O2.BetaL,0.015586350630425459,O2,BetaL
21,POW.O1.Theta,0.015418545857664024,O1,Theta
22,POW.T8.Gamma,0.01508982614621734,T8,Gamma
23,POW.P7.BetaL,0.014912852535909255,P7,BetaL
24,POW.FC5.Gamma,0.014885280974793639,FC5,Gamma
25,POW.F8.BetaH,0.014744842724428197,F8,BetaH
26,POW.AF3.Gamma,0.014648146832653156,AF3,Gamma
27,POW.F4.Theta,0.014637361378387071,F4,Theta
28,POW.FC6.Gamma,0.014513372674383232,FC6,Gamma
29,POW.O2.Theta,0.014373902795968816,O2,Theta
30,POW.FC5.BetaH,0.014364122758518533,FC5,BetaH
31,POW.T8.BetaH,0.014288267476794536,T8,BetaH
32,POW.O2.Alpha,0.013522531529043912,O2,Alpha
33,POW.T8.Theta,0.013486838671878585,T8,Theta
34,POW.AF3.BetaH,0.01312451464570657,AF3,BetaH
35,POW.T7.Alpha,0.013080099604159292,T7,Alpha
36,POW.F4.Gamma,0.012837161219300952,F4,Gamma
37,POW.F8.Gamma,0.012662275179409632,F8,Gamma
38,POW.P7.Theta,0.012631780840154054,P7,Theta
39,POW.P7.Alpha,0.012538061875222604,P7,Alpha
40,POW.FC6.Alpha,0.012529590306758197,FC6,Alpha
41,POW.P8.Alpha,0.012501697536251603,P8,Alpha
42,POW.F8.Alpha,0.012400347885518847,F8,Alpha
43,POW.AF3.BetaL,0.012286606772522309,AF3,BetaL
44,POW.F3.Alpha,0.012233782939137149,F3,Alpha
45,POW.O1.Gamma,0.012179859545196934,O1,Gamma
46,POW.FC5.BetaL,0.012062750088365947,FC5,BetaL
47,POW.FC6.Theta,0.011562475689908543,FC6,Theta
48,POW.F3.BetaH,0.011441782673886179,F3,BetaH
49,POW.F7.Gamma,0.011378890084486268,F7,Gamma
50,POW.T8.Alpha,0.011151529264440749,T8,Alpha
51,POW.FC5.Alpha,0.011105593043611285,FC5,Alpha
52,POW.F7.BetaH,0.011096593272907374,F7,BetaH
53,POW.F7.Alpha,0.01105835014059404,F7,Alpha
54,POW.FC6.BetaL,0.010898733908277275,FC6,BetaL
55,POW.FC6.BetaH,0.010674456884323658,FC6,BetaH
56,POW.T7.Theta,0.010574807279499584,T7,Theta
57,POW.F3.BetaL,0.01046791901337536,F3,BetaL
58,POW.F3.Gamma,0.010334642044892144,F3,Gamma
59,POW.F4.BetaH,0.010120793000000839,F4,BetaH
60,POW.O2.BetaH,0.010032222224679914,O2,BetaH
61,POW.F3.Theta,0.009711264672570247,F3,Theta
62,POW.P7.Gamma,0.009690787649788025,P7,Gamma
63,POW.P8.BetaH,0.009177614989100295,P8,BetaH
64,POW.P7.BetaH,0.009162247169409724,P7,BetaH
65,POW.F8.BetaL,0.009149599916694742,F8,BetaL
66,POW.P8.BetaL,0.008958433465985877,P8,BetaL
67,POW.T8.BetaL,0.007991783756110149,T8,BetaL
68,POW.P8.Theta,0.007806555211973725,P8,Theta
69,POW.F7.BetaL,0.007620970609587197,F7,BetaL
70,POW.P8.Gamma,0.007456336818794068,P8,Gamma
