,Theta,Alpha,Beta,Gamma
baseline_talk,6.1489429125,2.113762517857143,1.3302966245535717,0.7060870241071429
frontal1_memorization,3.1735172566964285,1.5454785464285714,0.8191427523809524,0.49240803333333333
frontal1_recall,4.659777654761904,1.742630478748524,0.8377523693452382,0.4357445779761905
frontal2_memorization,2.8591239129464285,1.3594515549107142,0.7077277979910714,0.40819336379769305
frontal2_recall,4.005525146428571,1.6473200767857143,0.8499520053571429,0.4207632024793389
frontal3_recall,8.53017160625,2.401276566992014,1.4366088234374998,0.8935567665178572
frontal3_saying_outloud,3.735010220535714,1.5470187647321427,0.8038793546874999,0.4132861955357143
gyrus_coord,3.7571432116071426,1.8458198482142858,1.0757837700892858,0.6041543026785714
gyrus_coord2,4.637380361607143,1.8770059482142858,1.0618001593750002,0.789753250892857
gyrus_left_closed_eyes,2.1940471339285716,2.6615043818342152,0.9055931986607143,0.4066270044642856
gyrus_left_open,3.4823483544642855,1.3826681437500004,0.8012572200892858,0.43315804375000005
gyrus_right_closed_eyes,1.9837668464285716,2.4393725875,0.8192023294642858,0.3773567357142857
gyrus_right_open,3.334916525,1.4029462625000002,0.8098317691964285,0.4407827696428571
image_angry,2.63403465,1.3339025946428573,0.6609562955357143,0.3311967660714286
image_angry2,2.5629312125,1.3563693693379792,0.688038318815331,0.3316701480836236
image_happiness,3.272780451785714,1.5432265017857143,0.8617705187499999,0.4142785731707317
image_happy_cute,2.7914008125,1.2782555875000001,0.7015081491071428,0.40698290714285706
image_sad,2.6494910874999995,1.265339075,0.7075574910714286,0.3878237446428572
image_sad2,2.5825685732142856,1.2906406446428573,0.6990827008928573,0.3484867107142856
imagine_way_home,2.0669659776785716,2.3891172493345167,0.9688083225446429,0.4115242183035714
occipital4,2.28768393125,1.3573490299107145,0.7825005082589287,0.43413872874671344
parietal_2d_3d,3.0899932303571434,1.4461092892857141,0.7203090482142859,0.3534158138392857
parietal_next_in_seq,3.372574449107143,1.4617912011904761,0.742827747470238,0.33045275625
parietal_next_in_seq2,3.269345899702381,1.5075920720213396,0.7527307813988094,0.3371133141671606
prefrontal1,3.8770577736607144,1.44990625,0.8108645246228926,0.43246666339285716
prefrontal2,3.1419432415178568,1.4129411973214288,0.7307921046874999,0.35236611830357134
prefrontal3_reading,5.887958060714285,1.912567457589286,1.2163070575892856,0.8621954834821428
saying_words_based_on_cat,7.322717400892857,2.3622765089285713,1.2870292915178574,0.7335742857142857
saying_words_based_on_cat2,6.091820667857143,2.3819299794642856,1.2228294379464286,0.8210955892857142
temporal_how_many_instruments1,2.1611247188311684,2.8814889437420987,1.060475435064935,0.4952090548941799
temporal_how_many_instruments2,1.9844629015151514,2.660744741341991,0.9808196341991342,0.4289672002164502
temporal_how_many_instruments3,1.758634312133072,2.894277533268102,0.9424480053816046,0.3964403043052837
temporal_how_many_instruments4,1.775901701719577,2.8908794783748357,0.8581784126984127,0.36250285515873015
valdo1,3.3677317077380953,1.7501853636904765,0.9395410823494688,0.48602456493506485
valdo2,3.517951794642857,1.7200062768595044,0.973705206743567,0.47192827390791026
valdo3,2.866046448535936,1.5966755995535713,0.8861199430342387,0.46934239642857145
