,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
baseline_talk,3.851645915,2.5193397375,1.5988378816666666,1.6170242475000003,0.9823560975,0.8558751525,0.9851360275,1.0245946275,1.41888764,1.9160713950000001,2.3893916375,2.4082849725,2.9953139375,4.22619691
frontal1_memorization,2.4303956084745764,1.6624146099173551,1.1338250516666666,1.2090095083333332,0.6230360216666666,0.49187351166666665,0.6455990966666667,0.7559559662499999,0.8572676266666667,1.0696792516666669,1.5175829687499998,1.5702889683333334,1.834183925,2.5176086916666667
frontal1_recall,3.023619706666667,2.016691546583851,1.4392068099173554,1.2057012366666666,0.589279,0.5162197783333333,0.7565322512396694,0.8741328333333331,1.0681559636363638,1.14174604375,1.7889958133333335,1.952324375,2.0666383816666665,3.5524088837499996
frontal2_memorization,2.1936291975,1.3537341562500003,0.98569513125,1.027703956060606,0.5125947775,0.4933636475,0.64516076375,0.75203175625,0.84184733375,1.0896863212499999,1.4505205837500004,1.4404837474999996,1.5660132975,2.35303739875
frontal2_recall,2.857479523966942,1.9548754916666666,1.2465694266666667,1.1698646666666666,0.5395900628099174,0.49981198512396696,0.75320516,0.8685773900826448,0.9486172957264959,1.12975141,1.7400366550000004,1.8997833099999997,2.1573983316666667,3.047303131666667
frontal3_recall,5.202438385430463,3.0868563287499997,2.0605306857142858,2.0324787575,1.0052979087499998,0.9159299762499999,1.0587527300000001,1.24038546875,1.3287518000000003,1.79298592125,2.8395095075,2.7842915412499996,3.905090607499999,5.6344141425
frontal3_saying_outloud,2.5485171602484478,1.7787544225,1.163098535,1.1627014409937888,0.6050331625,0.5223144993788821,0.6777317825000001,0.839282925,0.92429318125,1.1952745775000002,1.7349559237499999,1.81049802,1.9287605537499999,2.6773981237499997
gyrus_coord,2.60979096,1.8706493574999996,1.4295349275,1.4763582458333335,0.8074853624999999,0.7841884425,0.8244622224999999,0.9587366849999999,1.1047581100000001,1.4339250299999997,2.2533000325000003,2.163883538271605,2.2018283525,2.861635615
gyrus_coord2,3.1062877440993786,1.8852800819875775,1.559260495,1.3479284375,0.92547102,0.85637211625,0.93994393125,0.98913876375,1.12927941,1.560828505,2.29230915375,1.9983923024999999,2.56115114375,3.35906732795031
gyrus_left_closed_eyes,1.9956642599999999,1.4407878600000001,1.5220934050000001,1.2104844775,0.766571105,0.6757077200000001,1.0318376469135804,1.44015977,1.4395395950617285,1.3811560049999998,1.806996614814815,1.9087543160493827,1.7401950624999998,2.2381152725
